path	baseline_blob	outcome	reason
.dockerignore	68a0f8831ac8737c92094529e33a30b1c3a07cda	retained	Ignore patterns contain no explanatory comments; preserve build-context exclusions.
.env.example	cf15151238cea448ae2a4d141909b88ff37a7884	retained	Short comments distinguish runtime secrets, issuer verification and SDK environment names.
.github/workflows/ci.yml	a16ebcede3a133212b29c32d69a3b6e78472587d	retained	Workflow steps state the checks they run; no prose comments needing edits.
.github/workflows/deploy-gate.yml	a26ea85cc9fb7fd7d44b0e9bfd2a0e1f62a69183	retained	No explanatory comments; workflow behavior is evidence for release documentation.
.github/workflows/deploy.yml	f6ebb0f2293fe550645b88f73bf83d66f88c91a9	retained	No explanatory comments; publication steps are evidence for docs and do not prove a live deployment.
.github/workflows/docker-publish.yml	cedffad0a892f5a5821c073ad6d23679067475b8	retained	Workflow step names describe image validation and runtime checks; no comment edits needed.
.github/workflows/release-please.yml	eefe41c66d756addf13c754c149d775e6009895d	retained	Version-tag and immutable-image comments explain assumptions rather than repeat shell syntax.
.gitignore	a7e6327b60eea8b3cfa46c5483b8448ed804da98	changed	Removed migration-specific ignore headings; patterns unchanged.
.husky/pre-commit	cb2c84d5c3c6cf8a76a3f007b875398b854369ca	retained	One command, no editorial material.
.npmrc	78cb106ff8364155cf9a9cce2cbfa5d68e69f245	retained	Registry mapping only; it has no token interpolation despite Dockerfile commentary.
.prettierignore	5322d7feeaeae76b7cb1abac69cfbb2992b11e76	retained	Lockfile patterns only; no editorial material.
.release-please-manifest.json	275a79aabcb150d20642daafea989a84d1f80f65	excluded	Tool-maintained release version manifest; preserve generated release metadata.
.vscode/settings.json	00b5278e580c31563782a9c795dd37053c9fe045	retained	Editor settings only; mark routeTree.gen.ts as generated in coverage.
Dockerfile	ab3db2ca22be2f243c9cc6f16659c0b7d136a735	changed	Corrected registry secret handling and removed stage and command narration.
docker-compose.prod.yml	be2450d24a1e7efa596909200b59331b4119d5b0	retained	Single Dockhand comment is concise; environment interpolation is implementation evidence for deployment docs.
docker-compose.yml	1703d508fd3f6feb703c5765d79a6cc68045eb91	changed	Linked local startup guidance.
eslint.config.js	ec6118be0e780da7ba324c3670366225c5df24b2	changed	Replaced repeated configuration explanation with its owning package.
package.json	b1401b8fa0ac6fa97b309e9a65c96d814e2b14f8	retained	No comments; authoritative root command and package-manager inventory.
packages/.keep/.gitkeep	e69de29bb2d1d6434b8b29ae775ad8c2e48c5391	excluded	Empty directory placeholder, no editorial content.
packages/auth/package.json	9d81c3c72ecdbf5f79bf6052664701df812208a0	retained	No editorial comments or standalone documentation.
packages/auth/package.test.ts	6cec54003350e81ff1f35ce9f37b732afad4e51d	changed	Removed extraction history and repeated assertion narration; retained current import boundaries and test isolation rationale.
packages/auth/src/bff.ts	4fb60b85c7385c226d466af8184bf322a5606c44	retained	No editorial comments or standalone documentation.
packages/auth/src/index.ts	178c43cf4e9ceee6545fbda9153ac7504e52f50b	retained	No editorial comments or standalone documentation.
packages/auth/src/middleware.test.ts	f68f4b9ec4765d63f3f2e5081e6072f1633e45a3	retained	No editorial comments or standalone documentation.
packages/auth/src/middleware.ts	3bc12d3f2a41bdd7980737a12292e95b9e5ee0d1	retained	No editorial comments or standalone documentation.
packages/auth/src/redact.test.ts	7e244d782b56aeb740a9539e7ec9dfe969e5a092	retained	No editorial comments or standalone documentation.
packages/auth/src/redact.ts	9e3202a791ae79c764606a1c4f724acb51c990a8	retained	No editorial comments or standalone documentation.
