path	baseline_blob	outcome	reason
apps/web/.storybook/main.ts	44d0cc4fb26c452b2428f49024eb6ad54a877996	retained	main.ts contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/.storybook/preview.ts	6f4a733037e663e95f346ac203b01c94cc79e0d8	retained	preview.ts contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/CHANGELOG.md	0c50826d21ceeeed454843650f934eb1b569559e	retained	Release history, not current implementation guidance; preserve historical entries and commit links.
apps/web/components.json	3176aeae0ebaa00dba668de2cd7a6b723dda09b3	retained	components.json contains machine configuration, no editorial comments.
apps/web/e2e/README.md	ceb04d226cdd3f06d352eeaf2fee162370057957	retained	Browser commands and fixture isolation match playwright.config.ts, auth fixture, and setup.ts; concise operational documentation.
apps/web/e2e/fixtures/auth.ts	743df5c60273aab9fdd1bb91bf6cc055fef2a137	retained	auth.ts contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/e2e/fixtures/setup.ts	ca9db504f2d4db60aea225cf15853ad3fee06184	retained	setup.ts contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/e2e/mocks/api.ts	ee2a6fb1b73f98e9a94cb99b6961c0389181d760	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/e2e/tests/contact-form.spec.ts	895e5531ba20ca65341b4178fc7b80b40d864337	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/e2e/tests/dashboard.spec.ts	62051c4170588fff5d75c6f24d721de9ccb6ef0f	retained	dashboard.spec.ts contains behavior assertions and fixtures without editorial comments needing changes.
apps/web/e2e/tests/public-pages.spec.ts	f90e1233fa77f098753439c7e656c319e93bfb7d	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/e2e/tests/sdk-boundaries.spec.ts	64b972db31e2ad2a0dc61df1e2a049a6051af265	retained	sdk-boundaries.spec.ts contains behavior assertions and fixtures without editorial comments needing changes.
apps/web/package.json	e3b41c1f94fda5c456717bad491b29ff94b9b024	retained	package.json contains machine configuration, no editorial comments.
apps/web/playwright.config.ts	d1087a9b368ee0db00d3499c2c87651170a8f5c3	retained	Useful build artifact and port-allocation constraints match webServer and E2E environment setup.
apps/web/public/BC-Solutions-no-background.svg	1f393a2ec5de36e72146e6da47dabcba9cbd63bd	excluded	Generated vector artwork consisting of exported path data; root review found no editorial comments.
apps/web/public/Cordes-Resume.pdf	04c3f1b83fdf67f2cd9db9fe81572278d95cca71	excluded	.pdf static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/favicon.ico	8af256e4005b7dbb1471dc5be13336d5516bd8e7	excluded	.ico static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/images/projects/bcordes.svg	f316d503fc4ab5ae47e2bfdc1d4dae7db3c0074d	excluded	Generated vector artwork consisting of exported path data; root review found no editorial comments.
apps/web/public/images/projects/wallow.svg	cfa79dc810fca4e9c07cd35bbbc6e5af6fbff396	excluded	Generated vector artwork consisting of exported path data; root review found no editorial comments.
apps/web/public/logo-cropped.png	4a9fcfd7002823a4470d1981f64f49b3063108c0	excluded	.png static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/logo.png	6fa57ca650390dc8ab9f73fb8e59141a205b59d9	excluded	.png static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/manifest.json	a6936f012c59323e4e293219379f9ddb094d23f8	retained	manifest.json contains machine configuration, no editorial comments.
apps/web/public/profile-picture.png	bfbc6ec0cc89c1b70c2275eee5ca24e8133c578e	excluded	.png static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/robots.txt	6bf646e5ca1c44df87947380f57f777e02640369	retained	Only a protocol reference comment; retain with crawler directives.
apps/web/public/sitemap.xml	bb5773fe0fc95955d95d22b7b12c4a7499b9b572	retained	Machine-consumed sitemap, not implementation documentation; no editorial comments. Its stale routes require separate runtime/content scope.
apps/web/public/sw.js	8e8dfd0e1ecfe8bbb80ba750048a2fd0dabad1a9	retained	Service-worker behavior with no comments or prose documentation.
apps/web/public/tanstack-circle-logo.png	9db3e67bade15d9ced50bdfc2393359c5f6f5712	excluded	.png static visual/document asset; excluded from source-comment and developer-documentation review.
apps/web/public/tanstack-word-logo-white.svg	b6ec5086c2d6455012c1f6dcf5c3b51f58057a9e	excluded	Third-party TanStack logo artwork; no editorial comments, confirmed by root review.
apps/web/src/__tests__/about-feature-module.test.ts	44a55ce62dfcfd1c7d5b76d35b788d1e6c4011ea	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/app-shell-module.test.ts	28f2c59ed3cc1eb8dbf67ede1be2c2a7e31bfe51	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/architecture-cleanup.test.ts	a954e642376671b61d0d2420262bf5873369ecdc	changed	Removed migration inventory and stale directory claims; retained boundary scan semantics and linked current development guide.
apps/web/src/__tests__/contact-feature-module.test.ts	6ed4239cb486430e2ec100ac84fb35049698807c	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/dead-code-animated-text.test.ts	0fbf61bf6abaf8e54c03129da8aca410e542ab68	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/dead-code-use-mobile.test.ts	1db6102e5cbadfe58fa002bd5bc8dcf377431f15	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/docs-workspace-layout.test.ts	25629318584b315cdc5cbe6263b77665ae64dbc8	changed	Removed obsolete SSE route and migration narrative; kept dynamic package discovery and empty discovery guard rationale.
apps/web/src/__tests__/feature-architecture.test.ts	f107640d1b68212fc9de4cf0dd62b1bf90300203	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/h3-resolution.test.ts	dac4413e52c2c3cd99b4803a6dcec9015c426cbc	changed	Removed obsolete middleware path and fix history; retained child-process NODE_PATH isolation rationale.
apps/web/src/__tests__/home-feature-module.test.ts	9d07ddf52d1e86e7b00d915438444db1523b3e81	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/inquiries-feature-module.test.ts	90878fedd43fb33598d20dbff3bd8196fb165e9e	changed	Removed migration inventory; corrected exclusion to the contact module test, retained scan/import/mock constraints.
apps/web/src/__tests__/markdown-content-removed.test.ts	7655012de4713975002a187f2a07cb0ed881c13e	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/notification-routing.test.ts	6a122bb30d67a6e5f3d4fea113dd29b079ea7df2	changed	Deleted comment repeating the test name and expected route.
apps/web/src/__tests__/notifications-feature-module.test.ts	75a3880e2ee36dcddfba508023fc7c0232fdac6c	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/projects-feature-module.test.ts	2c5f9bb73a4ef85284ff914eef4a8199237d5645	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/schema-validation.test.ts	3e70c976dd778a6a5c06f9d3d5378adbd3f89935	changed	Corrected claims that local schema copies track production; noted that production status uses an enum.
apps/web/src/__tests__/shadcn-cli-config.test.ts	905d419a297e98f1e83d5c499247631fa43a7df9	changed	Replaced unverified historical CLI narrative with current UI guide reference and jsdom URL constraint; test titles unchanged by scope.
apps/web/src/__tests__/shared-auth-module.test.ts	cf41ba379d171b1df04c09ab84fc79828cb0185c	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/shared-motion-module.test.ts	0cf901185fc9f9333350f158c77ca8267643f293	changed	Removed migration history and redundant narration; retained scan, isolation and public API constraints where needed.
apps/web/src/__tests__/storybook-packages-scan.test.ts	d663db77a8ebc10a1fe37dfcdb4d590b20341b2e	changed	Removed acceptance history and redundant helper descriptions; retained package story discovery and jsdom path constraint.
apps/web/src/__tests__/tailwind-source-scanning.test.ts	60bf4c6351a61310653ab5b23eabe987e93ab14e	changed	Corrected stylesheet path, removed historical sizes, retained split sentinel and package-only scanning constraints.
apps/web/src/__tests__/workspace-infra.test.ts	d215c6bf2508f98cd6b22700eee71efdc31874d6	changed	Condensed app tsconfig placement, jsdom URL and workflow execution constraints.
apps/web/src/__tests__/workspace-vitest-config.test.ts	3fdf338e41f2e7045727b6605b574108e8007671	changed	Removed migration history and stale test-file count; retained Node isolation, recursion avoidance, baseline floor and report isolation.
apps/web/src/app/components/layout/Footer.test.tsx	d60f18403e02428f2a88c365e432b03972c4d4ae	retained	Footer.test.tsx contains behavior assertions and fixtures without editorial comments needing changes.
apps/web/src/app/components/layout/Footer.tsx	a07060a63d7241644aecb4e70a43b3d3e4339ae7	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/src/app/components/layout/Header.test.tsx	8a2945af1e96594c625269aab512201da3f302d7	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/src/app/components/layout/Header.tsx	99c0e92c6c826e7db4460928a1d58099a108d189	retained	Header.tsx contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/src/app/components/layout/MobileNav.test.tsx	df1df2244a2f28b1c21677e2813094d0151dbf49	retained	MobileNav.test.tsx contains behavior assertions and fixtures without editorial comments needing changes.
apps/web/src/app/components/layout/MobileNav.tsx	28c4ff42b391cda377edac5ceaaaa1911ea5780e	retained	MobileNav.tsx contains implementation or rendered UI copy without editorial comments needing changes.
apps/web/src/app/components/layout/UserMenu.test.tsx	a3aea240fed027bcc87d36cf5b960e4b840ac162	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/src/app/components/layout/UserMenu.tsx	b4ae43f842651680d187d0d27a9df034d0f5f312	changed	Removed redundant labels and narration; retained concise constraints and required directives.
apps/web/src/app/config/navigation.test.ts	724982679c61c62a771b90d27c471b02a004b9ce	retained	navigation.test.ts contains behavior assertions and fixtures without editorial comments needing changes.
